date,n1,n2,n3,n4,n5,n6,bonus,classic_result,gold_ball_number,gold_prize_type,gold_result,odd_even,consecutive,repeats,zone
2026-03-21,2,16,18,37,39,41,47,2 - 16 - 18 - 37 - 39 - 41 | Bonus 47,,,,3單 3雙,No,0,"4個區 (1,2,4,5)"
2026-03-18,3,21,25,26,35,44,22,3 - 21 - 25 - 26 - 35 - 44 | Bonus 22,,,,4單 2雙,Yes,0,"4個區 (1,3,4,5)"
2026-03-14,9,15,16,20,38,45,10,9 - 15 - 16 - 20 - 38 - 45 | Bonus 10,,,,3單 3雙,Yes,1,"4個區 (1,2,4,5)"
2026-03-11,5,6,8,14,16,39,11,5 - 6 - 8 - 14 - 16 - 39 | Bonus 11,,,,2單 4雙,Yes,1,"3個區 (1,2,4)"
2026-03-07,16,20,32,42,43,46,31,16 - 20 - 32 - 42 - 43 - 46 | Bonus 31,,,,1單 5雙,Yes,0,"3個區 (2,4,5)"
2026-03-04,2,18,30,39,40,44,28,2 - 18 - 30 - 39 - 40 - 44 | Bonus 28,,,,1單 5雙,Yes,3,"5個區 (1,2,3,4,5)"
2026-02-28,15,18,24,36,39,40,9,15 - 18 - 24 - 36 - 39 - 40 | Bonus 9,,,,2單 4雙,Yes,1,"3個區 (2,3,4)"
2026-02-25,17,24,32,37,46,49,43,17 - 24 - 32 - 37 - 46 - 49 | Bonus 43,,,,3單 3雙,No,1,"4個區 (2,3,4,5)"
2026-02-21,3,9,30,33,37,43,49,3 - 9 - 30 - 33 - 37 - 43 | Bonus 49,,,,5單 1雙,No,1,"4個區 (1,3,4,5)"
2026-02-18,5,6,16,17,33,44,29,5 - 6 - 16 - 17 - 33 - 44 | Bonus 29,,,,3單 3雙,Yes,1,"4個區 (1,2,4,5)"
2026-02-14,1,4,15,29,35,44,27,1 - 4 - 15 - 29 - 35 - 44 | Bonus 27,,,,4單 2雙,No,0,"5個區 (1,2,3,4,5)"
2026-02-11,25,28,32,40,42,43,16,25 - 28 - 32 - 40 - 42 - 43 | Bonus 16,,,,2單 4雙,Yes,1,"3個區 (3,4,5)"
2026-02-07,16,23,30,43,46,48,10,16 - 23 - 30 - 43 - 46 - 48 | Bonus 10,,,,2單 4雙,No,0,"3個區 (2,3,5)"
2026-02-04,3,4,9,15,27,49,6,3 - 4 - 9 - 15 - 27 - 49 | Bonus 6,,,,5單 1雙,Yes,0,"4個區 (1,2,3,5)"
2026-01-31,1,7,21,33,41,47,43,1 - 7 - 21 - 33 - 41 - 47 | Bonus 43,,,,6單 0雙,No,0,"4個區 (1,3,4,5)"
2026-01-28,8,15,44,45,48,49,7,8 - 15 - 44 - 45 - 48 - 49 | Bonus 7,,,,3單 3雙,Yes,2,"3個區 (1,2,5)"
2026-01-24,9,13,15,28,41,49,43,9 - 13 - 15 - 28 - 41 - 49 | Bonus 43,,,,5單 1雙,No,1,"4個區 (1,2,3,5)"
2026-01-21,4,13,21,27,34,39,36,4 - 13 - 21 - 27 - 34 - 39 | Bonus 36,,,,4單 2雙,No,1,"4個區 (1,2,3,4)"
2026-01-17,10,12,15,33,34,45,8,10 - 12 - 15 - 33 - 34 - 45 | Bonus 8,,,,3單 3雙,Yes,2,"4個區 (1,2,4,5)"
2026-01-14,9,12,23,28,33,47,15,9 - 12 - 23 - 28 - 33 - 47 | Bonus 15,,,,4單 2雙,No,1,"5個區 (1,2,3,4,5)"
2026-01-10,16,19,26,31,47,49,46,16 - 19 - 26 - 31 - 47 - 49 | Bonus 46,,,,4單 2雙,No,0,"4個區 (2,3,4,5)"
2026-01-07,3,9,10,11,14,24,5,3 - 9 - 10 - 11 - 14 - 24 | Bonus 5,,,,3單 3雙,Yes,1,"3個區 (1,2,3)"
2026-01-03,3,12,16,21,22,41,37,3 - 12 - 16 - 21 - 22 - 41 | Bonus 37,,,,3單 3雙,Yes,1,"4個區 (1,2,3,5)"
2025-12-31,1,6,10,21,39,40,28,1 - 6 - 10 - 21 - 39 - 40 | Bonus 28,,,,3單 3雙,Yes,0,"3個區 (1,3,4)"
2025-12-27,2,8,23,28,29,36,13,2 - 8 - 23 - 28 - 29 - 36 | Bonus 13,,,,2單 4雙,Yes,1,"3個區 (1,3,4)"
2025-12-24,2,19,20,22,42,47,35,2 - 19 - 20 - 22 - 42 - 47 | Bonus 35,,,,2單 4雙,Yes,1,"4個區 (1,2,3,5)"
2025-12-20,13,22,24,28,29,46,16,13 - 22 - 24 - 28 - 29 - 46 | Bonus 16,,,,2單 4雙,Yes,0,"3個區 (2,3,5)"
2025-12-17,8,17,35,36,37,45,32,8 - 17 - 35 - 36 - 37 - 45 | Bonus 32,,,,4單 2雙,Yes,0,"4個區 (1,2,4,5)"
2025-12-13,13,14,21,23,26,49,41,13 - 14 - 21 - 23 - 26 - 49 | Bonus 41,,,,4單 2雙,Yes,1,"3個區 (2,3,5)"
2025-12-10,9,11,13,30,40,43,21,9 - 11 - 13 - 30 - 40 - 43 | Bonus 21,,,,4單 2雙,No,2,"5個區 (1,2,3,4,5)"
2025-12-06,9,11,15,38,39,44,21,9 - 11 - 15 - 38 - 39 - 44 | Bonus 21,,,,4單 2雙,Yes,1,"4個區 (1,2,4,5)"
2025-12-03,1,3,13,25,38,49,6,1 - 3 - 13 - 25 - 38 - 49 | Bonus 6,,,,5單 1雙,No,0,"5個區 (1,2,3,4,5)"
2025-11-29,5,6,9,29,42,45,2,5 - 6 - 9 - 29 - 42 - 45 | Bonus 2,,,,4單 2雙,Yes,1,"3個區 (1,3,5)"
2025-11-26,11,23,28,30,44,45,42,11 - 23 - 28 - 30 - 44 - 45 | Bonus 42,,,,3單 3雙,Yes,2,"3個區 (2,3,5)"
2025-11-22,11,14,19,24,45,48,39,11 - 14 - 19 - 24 - 45 - 48 | Bonus 39,,,,3單 3雙,No,2,"3個區 (2,3,5)"
2025-11-19,14,17,28,31,42,48,5,14 - 17 - 28 - 31 - 42 - 48 | Bonus 5,,,,2單 4雙,No,1,"4個區 (2,3,4,5)"
2025-11-15,1,5,8,25,42,47,44,1 - 5 - 8 - 25 - 42 - 47 | Bonus 44,,,,4單 2雙,No,0,"3個區 (1,3,5)"
2025-11-12,2,6,7,38,39,41,49,2 - 6 - 7 - 38 - 39 - 41 | Bonus 49,,,,3單 3雙,Yes,0,"3個區 (1,4,5)"
